disease,common_symptom,Description
Vulvar Pemphigus,"Blisters, pain, anorexia, mucosal damage, hypersensitivity, and ulcers","A vulvar disease is a particular abnormal, pathological condition that affects part or all of the vulva. Several pathologies are defined. Some can be prevented by vulvovaginal health maintenance.


== Vulvar cancer ==

Vulvar cancer accounts for about 5% of all gynecological cancers and typically affects women in later life. Five-year survival rates in the United States are around 70%."
Desmoplastic Fibroma,"Protrusion of bone surfaces, bone pain, swelling and pain in the long bones","In medicine, a desmoplastic fibroma is a low-grade malignant, locally aggressive, fibrous and rare tumor of the bone, affecting children and young adults, potentially resulting in cortical bone destruction. It usually affects craniofacial bones, mandible most frequently, long bones (metaphyseal femur, tibia, humerus). The World Health Organization, 2020, reclassified these tumors as specific benign tumors in the category of fibroblastic and myofibroblastic tumors.
Although it does not tend to metastatize, it has a high local recurrence and infiltrative growth. Treatment consists in wide local excision to prevent otherwise frequent recurrences."
Pediatric renovascular hypertension,"Headache, dizziness, restlessness, vomiting, heart failure, renal failure, urea clearance disorder, nephrotic syndrome, increased diastolic pressure, fever, outpatient hypertension, edema","Hypertension, also known as high blood pressure, is a long-term medical condition in which the blood pressure in the arteries is persistently elevated. High blood pressure usually does not cause symptoms itself. It is, however, a major risk factor for stroke, coronary artery disease, heart failure, atrial fibrillation, peripheral arterial disease, vision loss, chronic kidney disease, and dementia. Hypertension is a major cause of premature death worldwide.
High blood pressure is classified as primary (essential) hypertension or secondary hypertension."
Neonatal Brain Edema,"Irritability, somnolence, coma","Cerebral edema is excess accumulation of fluid (edema) in the intracellular or extracellular spaces of the brain. This typically causes impaired nerve function, increased pressure within the skull, and can eventually lead to direct compression of brain tissue and blood vessels. Symptoms vary based on the location and extent of edema and generally include headaches, nausea, vomiting, seizures, drowsiness, visual disturbances, dizziness, and in severe cases, death.
Cerebral edema is commonly seen in a variety of brain injuries including ischemic stroke, subarachnoid hemorrhage, traumatic brain injury, subdural, epidural, or intracerebral hematoma, hydrocephalus, brain cancer, brain infections, low blood sodium levels, high altitude, and acute liver failure. Diagnosis is based on symptoms and physical examination findings and confirmed by serial neuroimaging (computed tomography scans and magnetic resonance imaging)."
Multiple Myeloma-Associated Kidney Disease,"Bone pain, pathological fractures, anemia, tendency to bleed, recurrent infections","Multiple myeloma (MM), also known as plasma cell myeloma and simply myeloma, is a cancer of plasma cells, a type of white blood cell that normally produces antibodies. Often, no symptoms are noticed initially. As it progresses, bone pain, anemia, renal insufficiency, and infections may occur. Complications may include hypercalcemia and amyloidosis.
The cause of multiple myeloma is unknown."
Pancreatic Polypeptide Tumor (PPoma),"Abdominal pain, weight loss, diarrhea, hepatomegaly, abdominal mass, skin rash, ascites","Pancreatic neuroendocrine tumours (PanNETs, PETs, or PNETs), often referred to as ""islet cell tumours"", or ""pancreatic endocrine tumours"" are neuroendocrine neoplasms that arise from cells of the endocrine (hormonal) and nervous system within the pancreas.
PanNETs are a type of neuroendocrine tumor, representing about one-third of gastroenteropancreatic neuroendocrine tumors (GEP-NETs). Many PanNETs are benign, while some are malignant. Aggressive PanNET tumors have traditionally been termed ""islet cell carcinoma"".
PanNETs are quite distinct from the usual form of pancreatic cancer, the majority of which are adenocarcinomas, which arise in the exocrine pancreas."
Chronic Lymphocytic Leukemia in the Elderly,"Wasting, fatigue, night sweats, loss of appetite, low-grade fever, fever, anemia, persistent febrile","Chronic lymphocytic leukemia (CLL) is a type of cancer that affects the blood and bone marrow. In CLL, the bone marrow makes too many lymphocytes, which are a type of white blood cell. In patients with CLL, B cell lymphocytes can begin to collect in their blood, spleen, lymph nodes, and bone marrow. These cells do not function well and crowd out healthy blood cells. CLL is divided into two main types:

Slow-growing CLL (indolent CLL)
Fast-growing CLL
Many people do not have any symptoms when they are first diagnosed."
Endocrine Hypertension,"Dizziness, nausea, blurred vision, tinnitus","Hypertension, also known as high blood pressure, is a long-term medical condition in which the blood pressure in the arteries is persistently elevated. High blood pressure usually does not cause symptoms itself. It is, however, a major risk factor for stroke, coronary artery disease, heart failure, atrial fibrillation, peripheral arterial disease, vision loss, chronic kidney disease, and dementia. Hypertension is a major cause of premature death worldwide.
High blood pressure is classified as primary (essential) hypertension or secondary hypertension."
Upper Airway Obstruction,"Irritative dry cough, wheezing, difficulty breathing, expression of severe discomfort, scratching the throat, inspiratory stridor","Airway obstruction is a blockage of respiration in the airway that hinders the free flow of air. Airway obstructions can occur either in the upper airway or lower airway. The upper airway consists of the nose, throat, and larynx. The lower airway comprises the trachea, bronchi, and bronchioles.
Airway obstruction is a life-threatening condition and requires urgent attention."
Flavobacterium Meningosepticum Pneumonia,"Fever, vomiting, signs of meningeal irritation, syncope, cough, expectoration, pleural effusion, hypocalcemia, chest pain, interlobar fissures often presenting as arc-shaped drooping","Elizabethkingia meningoseptica is a Gram-negative, rod-shaped bacterium widely distributed in nature (e.g. fresh water, salt water, or soil). It may be normally present in fish and frogs; it may be isolated from chronic infectious states, as in the sputum of cystic fibrosis patients. In 1959,  American bacteriologist Elizabeth O. King (who isolated Kingella kingae in 1960) was studying unclassified bacteria associated with pediatric meningitis at the Centers for Disease Control and Prevention in Atlanta, when she isolated an organism (CDC group IIa) that she named Flavobacterium meningosepticum (Flavobacterium means ""the yellow bacillus"" in Latin; meningosepticum likewise means ""associated with meningitis and sepsis""). In 1994, it was reclassified in the genus Chryseobacterium and renamed Chryseobacterium meningosepticum(chryseos = ""golden"" in Greek, so Chryseobacterium means a golden/yellow rod similar to Flavobacterium)."
